X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8570034.414,4702301.206,1858,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/06/14 04:00:00+00,Morning,2017/06/15 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,1,0,2017/09/19 19:04:00+00,temp_157,{1F21F8D9-D7E1-4BFC-9CCA-8839AB27A384},,,,
-8570034.414,4702301.206,1859,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/02 04:00:00+00,Morning,2017/08/03 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,5,7,0,2017/09/25 22:22:00+00,temp_239,{937882E6-225B-4E82-A48F-93D4CAAB0FD3},,,,
-8570034.414,4702301.206,1860,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/07/19 04:00:00+00,Morning,2017/07/20 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,0,0,2017/09/21 21:20:00+00,temp_329,{6FD32062-E2B5-4F15-9385-EBA8942DBC03},,,,
-8570034.414,4702301.206,1861,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/09/27 04:00:00+00,Morning,2017/09/28 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,5,2,0,2017/10/24 14:06:00+00,temp_490,{084B349E-051C-4A88-8406-13BC2D2B9A1E},,,,
-8570034.414,4702301.206,1862,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/10/25 04:00:00+00,Morning,2017/10/26 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/10/27 17:15:00+00,temp_787,{651411DE-AB8E-4A1B-A01B-9A4D7B24E37E},,,,
-8570034.414,4702301.206,1863,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/02 04:00:00+00,Morning,2017/08/03 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/09/25 22:23:00+00,temp_277,{996EA71B-0D6F-481E-889A-9B74ABF68F35},,,,
-8570034.414,4702301.206,1864,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/25 04:00:00+00,Afternoon,2018/09/26 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,3,0,0,2018/10/05 17:43:00+00,temp_1455,{86991EC5-300E-450A-BAE0-30F274567ED8},,,,
-8570034.414,4702301.206,1865,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/02 04:00:00+00,Morning,2017/08/03 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,13,5,0,2017/09/25 22:22:00+00,temp_240,{CC922CB2-E506-434D-A92B-4F722DC47D68},,,,
-8570034.414,4702301.206,1866,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/04 04:00:00+00,Afternoon,2018/09/05 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,2,0,0,2018/10/05 15:15:00+00,temp_1029,{45AC546A-E998-4645-9103-D285D432E364},,,,
-8570034.414,4702301.206,1867,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/07/02 04:00:00+00,Afternoon,2018/07/03 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,12,15,0,2018/07/09 20:44:00+00,temp_999,{352F188C-9607-42DC-B7A8-D923E0E45072},,,,
